pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
286.67,-38.33,90.0,bottom,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
248.85,-44.33,45.0,bottom,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2uF,smt
236.994757,-42.96,-90.0,bottom,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF,smt
227.43,-42.96,-90.0,bottom,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF,smt
266.53,-44.94,0.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
240.47,-64.96,-135.0,bottom,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
238.033623,-62.556377,-135.0,bottom,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
348.7,-56.55,0.0,bottom,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.01uF,smt
348.7325,-66.72,180.0,bottom,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.01uF,smt
271.41,-45.81,90.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
235.843623,-56.806377,-135.0,bottom,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
268.1,-49.53,0.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
237.0,-52.84,135.0,bottom,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
249.32,-63.31,-45.0,bottom,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
252.79,-57.86,-45.0,bottom,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
243.99,-44.51,45.0,bottom,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
250.88,-60.19,-135.0,bottom,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2uF,smt
65.04,-83.9275,90.0,bottom,D1,,,D_SOD-123,D,smt
255.54,-83.9275,90.0,bottom,D10,,,D_SOD-123,D,smt
274.59,-83.9275,90.0,bottom,D11,,,D_SOD-123,D,smt
293.64,-83.9275,90.0,bottom,D12,,,D_SOD-123,D,smt
312.69,-83.9275,90.0,bottom,D13,,,D_SOD-123,D,smt
346.0275,-83.9275,90.0,bottom,D14,,,D_SOD-123,D,smt
365.0775,-83.9275,90.0,bottom,D15,,,D_SOD-123,D,smt
60.2775,-107.74,90.0,bottom,D16,,,D_SOD-123,D,smt
79.3275,-107.74,90.0,bottom,D17,,,D_SOD-123,D,smt
98.3775,-107.74,90.0,bottom,D18,,,D_SOD-123,D,smt
117.4275,-107.74,90.0,bottom,D19,,,D_SOD-123,D,smt
93.615,-83.9275,90.0,bottom,D2,,,D_SOD-123,D,smt
136.4775,-107.74,90.0,bottom,D20,,,D_SOD-123,D,smt
155.5275,-107.74,90.0,bottom,D21,,,D_SOD-123,D,smt
174.5775,-107.74,90.0,bottom,D22,,,D_SOD-123,D,smt
193.6275,-107.74,90.0,bottom,D23,,,D_SOD-123,D,smt
